code,name,nhom,vat_lieu,dang,tiet_dien_a_mm,tiet_dien_b_mm,day_thanh_mm,unit,so_dong_bom,so_san_pham,can_ra_tay,cac_cach_viet_goc
VT-AL-L-10x30x1,Ống nhôm L 10x30 dày 1,KHUNG,AL,L,10,30,1,cây,7,3,,Khung ốp gạch 1 | Khung ốp gạch 2 | Khung ốp gạch 3 | Khung ốp gạch 1
VT-AL-L-12x85x1.2,Ống nhôm L 12x85 dày 1.2,KHUNG,AL,L,12,85,1.2,cây,1,1,,Nan bàn ngang ( Tôn nhấn)
VT-AL-LA-0.5x15,La nhôm 0.5x15,KHUNG,AL,LA,0.5,15,0.5,cây,1,1,,Bát nam châm
VT-AL-LA-1.1x370,La nhôm 1.1x370,KHUNG,AL,LA,1.1,370,1.1,cây,3,2,,Lưới tựa 10x20
VT-AL-LA-1.1x680,La nhôm 1.1x680,KHUNG,AL,LA,1.1,680,1.1,cây,3,2,,Lưới mê 10x20
VT-AL-LA-1.2x139,La nhôm 1.2x139,KHUNG,AL,LA,1.2,139,1.2,cây,2,2,,nan mê nhấn C(10x95) | Nan mê Nhấn C (10x95)
VT-AL-LA-1.2x15,La nhôm 1.2x15,KHUNG,AL,LA,1.2,15,1.2,cây,2,2,,Bịt đầu cùi nối | Bịt đầu cùi
VT-AL-LA-1.2x5,La nhôm 1.2x5,KHUNG,AL,LA,1.2,5,1.2,cây,1,1,,Gân của hộp7x15
VT-AL-LA-1.2x90,La nhôm 1.2x90,KHUNG,AL,LA,1.2,90,1.2,cây,11,2,,Nan mê nhấn c ( 10x50) | Nan mê nhấn u (10x50)
VT-AL-LA-1.5x15,La nhôm 1.5x15,KHUNG,AL,LA,1.5,15,1.5,cây,1,1,,La LK nan
VT-AL-LA-1.5x25,La nhôm 1.5x25,KHUNG,AL,LA,1.5,25,1.5,cây,1,1,,Pát đỡ mặt bàn
VT-AL-LA-1.5x27,La nhôm 1.5x27,KHUNG,AL,LA,1.5,27,1.5,cây,2,2,,Pát đỡ mặt bàn
VT-AL-LA-1.7x127,La nhôm 1.7x127,KHUNG,AL,LA,1.7,127,1.7,cây,8,3,,Lưới mê | Lưới tựa
VT-AL-LA-1.7x194,La nhôm 1.7x194,KHUNG,AL,LA,1.7,194,1.7,cây,4,2,,Lưới mê
VT-AL-LA-1.7x370,La nhôm 1.7x370,KHUNG,AL,LA,1.7,370,1.7,cây,1,1,,Lưới tựa
VT-AL-LA-1.7x680,La nhôm 1.7x680,KHUNG,AL,LA,1.7,680,1.7,cây,1,1,,Lưới mê
VT-AL-LA-1.8x15,La nhôm 1.8x15,KHUNG,AL,LA,1.8,15,1.8,cây,1,1,,PAT BẮT NAN BÀN
VT-AL-LA-1.8x40,La nhôm 1.8x40,KHUNG,AL,LA,1.8,40,1.8,cây,2,1,,LKN GIỮA 1 | LKN GIỮA 2
VT-AL-LA-10x20,La nhôm 10x20,KHUNG,AL,LA,10,20,10,cây,3,3,,Pát đầu giường | Pát đỡ chống giường | Ô LỖ DÙ
VT-AL-LA-10x25,La nhôm 10x25,KHUNG,AL,LA,10,25,10,cây,1,1,,Pát gấp
VT-AL-LA-10x26,La nhôm 10x26,KHUNG,AL,LA,10,26,10,cây,1,1,,Pát đỡ thanh chống giường
VT-AL-LA-10x38,La nhôm 10x38,KHUNG,AL,LA,10,38,10,cây,1,1,,Pát xoay
VT-AL-LA-11x25,La nhôm 11x25,KHUNG,AL,LA,11,25,11,cây,4,2,,Pát xoay 2
VT-AL-LA-11x47,La nhôm 11x47,KHUNG,AL,LA,11,47,11,cây,4,2,,Pát xoay 1
VT-AL-LA-1x10,La nhôm 1x10,KHUNG,AL,LA,1,10,1,cây,11,3,,Bịt đầu nan | Thanh nẹp dọc | Thanh nẹp vài ngang
VT-AL-LA-1x132,La nhôm 1x132,KHUNG,AL,LA,1,132,1,cây,2,1,,Nan bàn nhấn C (10x86) | Nan bàn phụ (10x86)
VT-AL-LA-1x136,La nhôm 1x136,KHUNG,AL,LA,1,136,1,cây,1,1,,Nan bàn Nhấn C ( 10x90 )
VT-AL-LA-1x18,La nhôm 1x18,KHUNG,AL,LA,1,18,1,cây,1,1,,gân của hộp 20x70
VT-AL-LA-1x20,La nhôm 1x20,KHUNG,AL,LA,1,20,1,cây,1,1,,La kẹp mây
VT-AL-LA-1x40,La nhôm 1x40,KHUNG,AL,LA,1,40,1,cây,3,1,,Khung ốp gạch 1 L(10x30) | Khung ốp gạch 2 L(10x30) | Khung ốp gạch 3 L(10x30)
VT-AL-LA-2.5x461,La nhôm 2.5x461,KHUNG,AL,LA,2.5,461,2.5,cây,2,1,,Mặt ghế
VT-AL-LA-2.5x995,La nhôm 2.5x995,KHUNG,AL,LA,2.5,995,2.5,cây,4,1,,Mặt bàn
VT-AL-LA-20x40,La nhôm 20x40,KHUNG,AL,LA,20,40,20,cây,2,1,,Chân bàn dưới | Giằng chân dưới
VT-AL-LA-2x10,La nhôm 2x10,KHUNG,AL,LA,2,10,2,cây,11,11,,Bịt đầu nan | Pas Bịt giằng nan tựa | Bịt đầu tay vịn | Pát LK giằng giữa | bịt đầu chống
VT-AL-LA-2x100,La nhôm 2x100,KHUNG,AL,LA,2,100,2,cây,3,3,,BẢN MÃ | Bịt đầu
VT-AL-LA-2x11,La nhôm 2x11,KHUNG,AL,LA,2,11,2,cây,2,1,,Bịt đầu nẹp vải
VT-AL-LA-2x15,La nhôm 2x15,KHUNG,AL,LA,2,15,2,cây,29,15,,Pas bịt đố sau | Pas lk mê chân | Bịt đầu đố trước | La nối | La móc Tựa | La LK Tựa
VT-AL-LA-2x16,La nhôm 2x16,KHUNG,AL,LA,2,16,2,cây,1,1,,Pịt đàu ống tròn
VT-AL-LA-2x18,La nhôm 2x18,KHUNG,AL,LA,2,18,2,cây,2,2,,pas bịt đầu | Pas lk chân tựa
VT-AL-LA-2x19,La nhôm 2x19,KHUNG,AL,LA,2,19,2,cây,1,1,,Bịt đầu Nẹp vải
VT-AL-LA-2x20,La nhôm 2x20,KHUNG,AL,LA,2,20,2,cây,30,23,,Bịt đầu tay vịn | Pát LK nan tựa đầu | Bịt đầu tựa | Bịt đầu | pát chân sau | Bịt đầu thanh đỡ khung giữa
VT-AL-LA-2x21,La nhôm 2x21,KHUNG,AL,LA,2,21,2,cây,1,1,,Bịt đầu mê ngồi + tựa
VT-AL-LA-2x22,La nhôm 2x22,KHUNG,AL,LA,2,22,2,cây,7,5,,Bịt đầu chân trên | Bịt đầu chân dưới | Bịt đầu mê | Bịt đầu dọc khung | Pát bịt giằng chân
VT-AL-LA-2x24,La nhôm 2x24,KHUNG,AL,LA,2,24,2,cây,7,5,,Pas bịt đầu chân | Pas bịt đố trước | Bịt đầu dọc ngồi | Bịt đầu dọc tựa | Bịt đầu nẹp vải
VT-AL-LA-2x24.5,La nhôm 2x24.5,KHUNG,AL,LA,2,24.5,2,cây,2,2,,Bịt đầu tựa + mê
VT-AL-LA-2x25,La nhôm 2x25,KHUNG,AL,LA,2,25,2,cây,17,15,,Bịt đầu chân | Bát hàn thanh xoay khung giữa | Pát LK mặt bàn | Bịt đầu diềm dài | Bịt đầu | Bịt đầu tay vin
VT-AL-LA-2x30,La nhôm 2x30,KHUNG,AL,LA,2,30,2,cây,12,9,,Pát đỡ khung giường | La kết nối tựa | Pát đỡ | Pát nối chân giữa | Bịt đầu ống | Bịt Diềm Bàn
VT-AL-LA-2x35,La nhôm 2x35,KHUNG,AL,LA,2,35,2,cây,16,5,,Pát Tay | Cùi nối chân | La ôm ngang tựa Nhấn Cv
VT-AL-LA-2x38,La nhôm 2x38,KHUNG,AL,LA,2,38,2,cây,4,4,,Bịt đầu chân | Bịt đầu cùi tay trước
VT-AL-LA-2x40,La nhôm 2x40,KHUNG,AL,LA,2,40,2,cây,45,18,,Bịt đầu chân bàn | Bịt đầu ống ngang chân | Bít đầu chân | Bịt đầu chân trước | Bịt đầu thành giường | La bịt đầu chân
VT-AL-LA-2x45,La nhôm 2x45,KHUNG,AL,LA,2,45,2,cây,22,6,,Đỡ mê cong V 25x20 | Chốt nối tựa | Đỡ nan mê trong v20x25
VT-AL-LA-2x50,La nhôm 2x50,KHUNG,AL,LA,2,50,2,cây,3,2,,La bịt đầu khung đầu giường | La tròn che lõi
VT-AL-LA-2x55,La nhôm 2x55,KHUNG,AL,LA,2,55,2,cây,2,1,,La ôm ngang tựa Nhấn Cv
VT-AL-LA-2x60,La nhôm 2x60,KHUNG,AL,LA,2,60,2,cây,13,4,,Bịt đế trên | Bịt chân | Bịt đầu chân bánh xe
VT-AL-LA-2x65,La nhôm 2x65,KHUNG,AL,LA,2,65,2,cây,2,1,,Pát dài đỡ kính (Nhấn L)
VT-AL-LA-2x70,La nhôm 2x70,KHUNG,AL,LA,2,70,2,cây,3,2,,Bịt chân
VT-AL-LA-2x700,La nhôm 2x700,KHUNG,AL,LA,2,700,2,cây,1,1,,Bàn
VT-AL-LA-2x82,La nhôm 2x82,KHUNG,AL,LA,2,82,2,cây,1,1,,Bịt chân giường trước
VT-AL-LA-2x86,La nhôm 2x86,KHUNG,AL,LA,2,86,2,cây,2,1,,Pát nối chân
VT-AL-LA-30x30,La nhôm 30x30,KHUNG,AL,LA,30,30,30,cây,1,1,,Giằng chân giữa
VT-AL-LA-36x36,La nhôm 36x36,KHUNG,AL,LA,36,36,36,cây,2,2,,Lót cấy ren LK tựa
VT-AL-LA-3x10,La nhôm 3x10,KHUNG,AL,LA,3,10,3,cây,1,1,,Bát chặn
VT-AL-LA-3x15,La nhôm 3x15,KHUNG,AL,LA,3,15,3,cây,1,1,,LKN BIÊN
VT-AL-LA-3x18,La nhôm 3x18,KHUNG,AL,LA,3,18,3,cây,6,5,,Pát LK mê gồi | Pát đỡ mê đố
VT-AL-LA-3x20,La nhôm 3x20,KHUNG,AL,LA,3,20,3,cây,24,18,,Pát chân phụ | Pát la đỡ mặt | Pát tay vịn | Pát đố trước | Pass mê tựa | Pát đỡ  thanh
VT-AL-LA-3x25,La nhôm 3x25,KHUNG,AL,LA,3,25,3,cây,10,8,,Pas đỡ | Pát đỡ mê ngồi | Pát tay vịn | Bịt đầu | ngang mê | Pát LK
VT-AL-LA-3x27,La nhôm 3x27,KHUNG,AL,LA,3,27,3,cây,3,3,,Bịt đầu ống lót
VT-AL-LA-3x30,La nhôm 3x30,KHUNG,AL,LA,3,30,3,cây,5,3,,Cùi nối ngang trước
VT-AL-LA-3x35,La nhôm 3x35,KHUNG,AL,LA,3,35,3,cây,12,7,,Pát chân phụ | Pát chân | Pát ôm chân
VT-AL-LA-3x40,La nhôm 3x40,KHUNG,AL,LA,3,40,3,cây,7,4,,Pát LK tựa | Bị đầu chân giữa | La đỡ nan 1
VT-AL-LA-3x42,La nhôm 3x42,KHUNG,AL,LA,3,42,3,cây,2,2,,Pas lk chân đố trước
VT-AL-LA-3x45,La nhôm 3x45,KHUNG,AL,LA,3,45,3,cây,1,1,,Pát chân phụ
VT-AL-LA-3x50,La nhôm 3x50,KHUNG,AL,LA,3,50,3,cây,4,4,,Pát ngang ngồi trước | Đỡ nan mê trong v30x30
VT-AL-LA-3x60,La nhôm 3x60,KHUNG,AL,LA,3,60,3,cây,2,2,,Đỡ nan mê trong v30
VT-AL-LA-3x76,La nhôm 3x76,KHUNG,AL,LA,3,76,3,cây,2,2,,Bịt đầu chân
VT-AL-LA-3x95,La nhôm 3x95,KHUNG,AL,LA,3,95,3,cây,1,1,,La cùm chân
VT-AL-LA-47x47,La nhôm 47x47,KHUNG,AL,LA,47,47,47,cây,1,1,,Pas chân
VT-AL-LA-4x10,La nhôm 4x10,KHUNG,AL,LA,4,10,4,cây,9,4,,Pát giữ mê vải | La bịt đầu cùi nối
VT-AL-LA-4x100,La nhôm 4x100,KHUNG,AL,LA,4,100,4,cây,3,3,,Bát hàn | Pát chân | Khớp nối ngang dọc nhấn c
VT-AL-LA-4x104,La nhôm 4x104,KHUNG,AL,LA,4,104,4,cây,1,1,,Cùi nối chân trước
VT-AL-LA-4x120,La nhôm 4x120,KHUNG,AL,LA,4,120,4,cây,1,1,,Cùi nối
VT-AL-LA-4x124,La nhôm 4x124,KHUNG,AL,LA,4,124,4,cây,1,1,,Nối Khung dọc giường
VT-AL-LA-4x15,La nhôm 4x15,KHUNG,AL,LA,4,15,4,cây,43,8,,Pát nối mê | Pát Lk chân | Bát hàn giằng ngang mê | Pát chân | La đỡ Mê | La lk
VT-AL-LA-4x150,La nhôm 4x150,KHUNG,AL,LA,4,150,4,cây,2,2,,Pát chân | La Chân
VT-AL-LA-4x16,La nhôm 4x16,KHUNG,AL,LA,4,16,4,cây,16,3,,La nối mê tựa
VT-AL-LA-4x18,La nhôm 4x18,KHUNG,AL,LA,4,18,4,cây,3,1,,Cùi nối Mê trước
VT-AL-LA-4x20,La nhôm 4x20,KHUNG,AL,LA,4,20,4,cây,61,34,,Pát hàn ngang mê trước | Pát lk chân sau | Pas dưới mê | Pát hàn dưới mê | Pát mê ngồi | Pát gắn mê
VT-AL-LA-4x25,La nhôm 4x25,KHUNG,AL,LA,4,25,4,cây,36,15,,Pas trên mê | Pát chân | Pát đỡ thanh chống tựa | La bắt nối chân | pát lk mê | Pát  liên kết mê
VT-AL-LA-4x30,La nhôm 4x30,KHUNG,AL,LA,4,30,4,cây,15,12,,Pas mê | La lk Tựa | LK 2 dọc mê | pát liên kết tay vịn | La Nối tay vịn | pát chân
VT-AL-LA-4x35,La nhôm 4x35,KHUNG,AL,LA,4,35,4,cây,4,4,,Pát dưới tựa | Pát cấy ren tựa trên | Pát Giằng
VT-AL-LA-4x38,La nhôm 4x38,KHUNG,AL,LA,4,38,4,cây,2,2,,Cùi Nối | Pát chân
VT-AL-LA-4x40,La nhôm 4x40,KHUNG,AL,LA,4,40,4,cây,21,10,,Pát nối | Pat U nối diềm trong | Pát giằng lớn | Bịt đầu cột chống | Bị đầu chân giữa | La đỡ nan 1
VT-AL-LA-4x47,La nhôm 4x47,KHUNG,AL,LA,4,47,4,cây,3,3,,Pát gót chân | Pát chân
VT-AL-LA-4x50,La nhôm 4x50,KHUNG,AL,LA,4,50,4,cây,10,4,,Nối Giằng | Pát Lk Gằng | Pát lk Diềm dài | Pát LK chèn đầu | Pát LK chèn Mê | Pát đỡ thân giường
VT-AL-LA-4x57,La nhôm 4x57,KHUNG,AL,LA,4,57,4,cây,11,11,,Pát chân | pas dưới tựa | Bịt gót chân | Bịt chân | La chân | Bịt chân TD HG13
VT-AL-LA-4x60,La nhôm 4x60,KHUNG,AL,LA,4,60,4,cây,6,5,,Pat  chân | pat chân | Bịt gót chân | Pát giữ chân | bịt đầu chân dưới
VT-AL-LA-4x64,La nhôm 4x64,KHUNG,AL,LA,4,64,4,cây,1,1,,Cùi nối chân sau
VT-AL-LA-4x65,La nhôm 4x65,KHUNG,AL,LA,4,65,4,cây,7,2,,Pát ngắn đõ kính  (Nhấn L) | Pas chân | Pát dài đỡ kính (Nhấn L)
VT-AL-LA-4x80,La nhôm 4x80,KHUNG,AL,LA,4,80,4,cây,4,1,,Pát chân
VT-AL-LA-4x90,La nhôm 4x90,KHUNG,AL,LA,4,90,4,cây,4,2,,Pát hàn chân giữa | Pát gắn đồ trước
VT-AL-LA-4x97,La nhôm 4x97,KHUNG,AL,LA,4,97,4,cây,1,1,,Pát U Giằng Diềm dài trong
VT-AL-LA-5x100,La nhôm 5x100,KHUNG,AL,LA,5,100,5,cây,2,1,,Pát Chân trên
VT-AL-LA-5x125,La nhôm 5x125,KHUNG,AL,LA,5,125,5,cây,1,1,,Pát chân
VT-AL-LA-5x130,La nhôm 5x130,KHUNG,AL,LA,5,130,5,cây,1,1,,Ngang trên tựa
VT-AL-LA-5x140,La nhôm 5x140,KHUNG,AL,LA,5,140,5,cây,1,1,,Ngang dưới tựa nhấn
VT-AL-LA-5x15,La nhôm 5x15,KHUNG,AL,LA,5,15,5,cây,2,2,,Pát chân
VT-AL-LA-5x18,La nhôm 5x18,KHUNG,AL,LA,5,18,5,cây,4,3,,Cùi nối | Cùi nối mê
VT-AL-LA-5x20,La nhôm 5x20,KHUNG,AL,LA,5,20,5,cây,23,13,,Pát hàn ngang mê trước | Pát lk chân sau | Pát LK Ngang trước | Pát giằng khung giường | Bịt đầu chân trước | Chốt nâng mê
VT-AL-LA-5x25,La nhôm 5x25,KHUNG,AL,LA,5,25,5,cây,34,11,,cùi nối đặt | Pát đỡ nâng | Bịt đầu trục xoay | Pát nâng | ngang mê | dọc mê
VT-AL-LA-5x30,La nhôm 5x30,KHUNG,AL,LA,5,30,5,cây,8,3,,Pát gắn tay | Bịt đầu chân 2 | Bịt chân 2 | pát đầu giường
VT-AL-LA-5x38,La nhôm 5x38,KHUNG,AL,LA,5,38,5,cây,1,1,,Cùi Nối
VT-AL-LA-5x40,La nhôm 5x40,KHUNG,AL,LA,5,40,5,cây,2,1,,Bịt đầu chân dưới
VT-AL-LA-5x47,La nhôm 5x47,KHUNG,AL,LA,5,47,5,cây,1,1,,Pás chân
VT-AL-LA-5x5,La nhôm 5x5,KHUNG,AL,LA,5,5,5,cây,6,1,,Dọc tựa
VT-AL-LA-5x50,La nhôm 5x50,KHUNG,AL,LA,5,50,5,cây,6,2,,Pát xoay 3 | Bịt đế chân
VT-AL-LA-5x70,La nhôm 5x70,KHUNG,AL,LA,5,70,5,cây,1,1,,La Nối chân
VT-AL-LA-5x90,La nhôm 5x90,KHUNG,AL,LA,5,90,5,cây,1,1,,Tựa đứng
VT-AL-LA-5x94,La nhôm 5x94,KHUNG,AL,LA,5,94,5,cây,1,1,,Cùi nối khung
VT-AL-LA-6x125,La nhôm 6x125,KHUNG,AL,LA,6,125,6,cây,2,1,,Tấm chắn tròn
VT-AL-LA-6x25,La nhôm 6x25,KHUNG,AL,LA,6,25,6,cây,1,1,,Thanh chống đầu giường
VT-AL-LA-6x60,La nhôm 6x60,KHUNG,AL,LA,6,60,6,cây,10,1,,Bịt đế dưới
VT-AL-LUOI-1.75x360x1.75,Ống nhôm lưới 1.75x360 dày 1.75,KHUNG,AL,LUOI,1.75,360,1.75,cây,1,1,,Lưới mê
VT-AL-LUOI-1.75x410x1.75,Ống nhôm lưới 1.75x410 dày 1.75,KHUNG,AL,LUOI,1.75,410,1.75,cây,1,1,,Lưới tựa
VT-AL-LUOI-1.9x415x1.9,Ống nhôm lưới 1.9x415 dày 1.9,KHUNG,AL,LUOI,1.9,415,1.9,cây,1,1,,Lưới tựa
VT-AL-LUOI-1.9x443x1.9,Ống nhôm lưới 1.9x443 dày 1.9,KHUNG,AL,LUOI,1.9,443,1.9,cây,1,1,,Lưới mê
VT-AL-LUOI-1.9x722x1.9,Ống nhôm lưới 1.9x722 dày 1.9,KHUNG,AL,LUOI,1.9,722,1.9,cây,1,1,,Lưới mặt bàn
VT-AL-LUOI-1x415x1.75,Ống nhôm lưới 1x415 dày 1.75,KHUNG,AL,LUOI,1,415,1.75,cây,1,1,,Lưới tựa
VT-AL-LUOI-1x443x1.75,Ống nhôm lưới 1x443 dày 1.75,KHUNG,AL,LUOI,1,443,1.75,cây,1,1,,Lưới mê
VT-AL-LUOI-2.5x436x1.85,Ống nhôm lưới 2.5x436 dày 1.85,KHUNG,AL,LUOI,2.5,436,1.85,cây,2,1,,Lưới Tựa | Lưới Mê
VT-AL-OVAN-12x18x0.8,Ống nhôm ovan 12x18 dày 0.8,KHUNG,AL,OVAN,12,18,0.8,cây,30,1,,Chống tựa 1 | Chống tựa 2 | Chống tựa 3 | Chống ngắn tay + tựa | Chống dài tựa
VT-AL-OVAN-13x22x0.8,Ống nhôm ovan 13x22 dày 0.8,KHUNG,AL,OVAN,13,22,0.8,cây,3,1,,Giằng ngang tựa
VT-AL-PF-1232AD,Profile nhôm 1232AD,KHUNG,AL,PF,20,40,1,cây,6,2,,Thanh ngồi trước + sau | Thanh ngồi hông | Tựa dưới
VT-AL-PF-A6061,Profile nhôm A6061,KHUNG,AL,PF,8,60,8,cây,5,3,,Tay vịn nhôm tấm | LK chân giữa | Pát chân
VT-AL-PF-AMHG03,Profile nhôm AMHG03,KHUNG,AL,PF,,,,cây,5,5,,Chân trước | Chống tay trước | Tay vịn
VT-AL-PF-AV25X70T12G,Profile nhôm AV25X70T12G,KHUNG,AL,PF,25,70,,cây,1,1,,Chân trước
VT-AL-PF-B106,Profile nhôm B106,KHUNG,AL,PF,56.6,56.6,2.5,cây,3,3,,Nối chân | Gót chân
VT-AL-PF-B107,Profile nhôm B107,KHUNG,AL,PF,30,75,1.2,cây,2,2,,Diềm bàn dài
VT-AL-PF-B108,Profile nhôm B108,KHUNG,AL,PF,60,60,1,cây,5,5,,Chân bàn | Chân
VT-AL-PF-B40,Profile nhôm B40,KHUNG,AL,PF,25,60,1.2,cây,5,3,,Diềm dài | Diềm ngắn | Diềm dài bàn | Diền bàn Dọc
VT-AL-PF-B433S,Profile nhôm B433S,KHUNG,AL,PF,30,60,1,cây,9,4,,Diềm dài | Diềm ngắn | Chân | Giang hông | Ngang trước | Giang chân
VT-AL-PF-B477,Profile nhôm B477,KHUNG,AL,PF,,,,cây,3,3,,Chân trước | Chân trước + sau
VT-AL-PF-B532,Profile nhôm B532,KHUNG,AL,PF,17,29.6,,cây,4,4,,Mê | Dọc tựa
VT-AL-PF-B56,Profile nhôm B56,KHUNG,AL,PF,,,,cây,2,2,,Chân sau
VT-AL-PF-B582,Profile nhôm B582,KHUNG,AL,PF,27,57,2.5,cây,3,3,,Nòng nối ngang trước | Gót chân
VT-AL-PF-B583,Profile nhôm B583,KHUNG,AL,PF,,,,cây,1,1,,Giang chân
VT-AL-PF-B628,Profile nhôm B628,KHUNG,AL,PF,22,60,1,cây,5,3,,Diềm bàn | Diềm ngắn | Diềm bàn dọc | Diềm bàn ngang | Giằng chân
VT-AL-PF-B629,Profile nhôm B629,KHUNG,AL,PF,22,60,1,cây,8,6,,Diềm dọc | Diềm ngang 1 | Diềm dài | Dọc khung
VT-AL-PF-DAYDUTRONPHI6,Profile nhôm DAYDUTRONPHI6,KHUNG,AL,PF,,,,cây,1,1,,Dây dù tròn phi 6
VT-AL-PF-DT02,Profile nhôm DT02,KHUNG,AL,PF,20,70,1.2,cây,3,1,,Chân | Đế chân | Ngang trên khung chân
VT-AL-PF-DTBD02,Profile nhôm DTBD02,KHUNG,AL,PF,,,,cây,30,22,,Ắc tay vịn | Ắt sao chân trước | Ắt sao tựa | Ắc | Ắc tựa | Ắc sao trước mê
VT-AL-PF-DTBD35,Profile nhôm DTBD35,KHUNG,AL,PF,,,,cây,2,1,,Dọc Tựa | Dọc Ngồi
VT-AL-PF-EPN0579,Profile nhôm EPN0579,KHUNG,AL,PF,82,82,1.2,cây,1,1,,chân 1
VT-AL-PF-HG03,Profile nhôm HG03,KHUNG,AL,PF,20,20,1,cây,2,2,,Giang bắt nan 2
VT-AL-PF-HG04,Profile nhôm HG04,KHUNG,AL,PF,,,,cây,9,3,,Nẹp vải dọc ngồi | Nẹp vải ngang ngồi trước | Nẹp vải ngang ngồi sau | Nẹp vải dọc ngồi 1 | Nẹp vải dọc ngồi 2 | thanh liên kết vải dọc
VT-AL-PF-HG13,Profile nhôm HG13,KHUNG,AL,PF,4,57,4,cây,5,5,,Pás chân | Pas dưới tựa | Pas chân  La
VT-AL-PF-HG16,Profile nhôm HG16,KHUNG,AL,PF,10,40,1,cây,8,2,,Cánh bàn dài đỡ | Cánh bàn ngắn đỡ | Viền dài đỡ ô giữa | Viền ngắn  đỡ ô giữa
VT-AL-PF-HG17,Profile nhôm HG17,KHUNG,AL,PF,10,50,1,cây,7,3,,Tay vịn + ốp trên tay | Nan ngồi | Nan tựa | Nan
VT-AL-PF-HG23,Profile nhôm HG23,KHUNG,AL,PF,,,,cây,2,2,,Tay vịn | Chân
VT-AL-PF-HINH1,Profile nhôm HINH1,KHUNG,AL,PF,1,150,1,cây,6,1,,Dọc chống tay | Ngang Tay | Ngang Tựa
VT-AL-PF-MHHG12,Profile nhôm MHHG12,KHUNG,AL,PF,25,25,,cây,2,1,,Tựa | Mê
VT-AL-PF-MHHG1230,Profile nhôm MHHG1230,KHUNG,AL,PF,50,50,1,cây,2,2,,Chân bàn
VT-AL-PF-P10,Profile nhôm P10,KHUNG,AL,PF,,,1,cây,1,1,,Giằng trên chân xéo
VT-AL-PF-P25,Profile nhôm P25,KHUNG,AL,PF,,,1,cây,2,1,,Giằng chân tựa | Giằng dưới chân xéo
VT-AL-PF-TD972,Profile nhôm TD972,KHUNG,AL,PF,,,,cây,9,3,,Đố Trước | Đố sau | Dọc Ngồi
VT-AL-PF-TD974,Profile nhôm TD974,KHUNG,AL,PF,,,,cây,3,1,,Nẹp dọc mê | Nẹp dọc tựa | Nẹp lưng
VT-AL-PF-TDA593,Profile nhôm TDA593,KHUNG,AL,PF,22,35,,cây,5,3,,Dọc mê | Dọc Tựa
VT-AL-PF-TDA648,Profile nhôm TDA648,KHUNG,AL,PF,24.5,24.5,,cây,6,3,,Dọc mê | Dọc tựa | Nẹp vải mê | Nẹp vải tựa
VT-AL-PF-TDA708,Profile nhôm TDA708,KHUNG,AL,PF,20,45,,cây,8,6,,Tay vịn | Bạ trên tay vịn | Ngang cụm mặt | Dọc ngồi | Chân phụ | Diềm ngang bàn
VT-AL-PF-TDB106,Profile nhôm TDB106,KHUNG,AL,PF,60,60,,cây,7,7,,Nối chân | Nối chân bàn
VT-AL-PF-TDB107,Profile nhôm TDB107,KHUNG,AL,PF,30,75,,cây,3,3,,Diềm dọc khung | Dọc khung bàn
VT-AL-PF-TDB108,Profile nhôm TDB108,KHUNG,AL,PF,60,60,1.2,cây,7,7,,Chân bàn | Chân
VT-AL-PF-TDB109,Profile nhôm TDB109,KHUNG,AL,PF,25,30,,cây,4,3,,Dọc mê | Vành bàn trước | Vành bàn sau
VT-AL-PF-TDB252,Profile nhôm TDB252,KHUNG,AL,PF,25,76,,cây,1,1,,Dọc khung bàn nhôm
VT-AL-PF-TDB433S,Profile nhôm TDB433S,KHUNG,AL,PF,30,60,1.2,cây,8,4,,Chống đứng trước | Thanh hông | Thanh ngang trước | Nối ngang trước | Khung ngang trên
VT-AL-PF-TDB475,Profile nhôm TDB475,KHUNG,AL,PF,25,45,,cây,14,4,,Đố trước | đầu tựa | Dọc mê | Ngang mê | Viền bàn dọc | Viền bàn ngang
VT-AL-PF-TDB477,Profile nhôm TDB477,KHUNG,AL,PF,,,,cây,11,8,,Chân Trước | Chân sau + dọc tựa | Chân trước | Chân sau | Tay vịn
VT-AL-PF-TDB532,Profile nhôm TDB532,KHUNG,AL,PF,17,30,,cây,11,6,,Tựa luồn vải | Dọc mê | Mê ngồi + tựa | Dọc tựa | Dọc ngồi
VT-AL-PF-TDB56,Profile nhôm TDB56,KHUNG,AL,PF,,,,cây,7,7,,Chân sau | Chống tay sau
VT-AL-PF-TDB570,Profile nhôm TDB570,KHUNG,AL,PF,,,,cây,14,11,,Ngang ngồi Ovan | Ngang tựa Ovan | Giằng tựa | Giằng mê | Ngang ngồi+tựa cong ( Ovan) | Giằng mê ovan
VT-AL-PF-TDB582,Profile nhôm TDB582,KHUNG,AL,PF,27,57,1.8,cây,2,2,,Ống lót ngang trước
VT-AL-PF-TDB583,Profile nhôm TDB583,KHUNG,AL,PF,,,,cây,11,6,,Dọc mê | Thanh nối tay mê | Chân tựa | Chân xéo | Chân dài | Chân ngắn
VT-AL-PF-TDB72,Profile nhôm TDB72,KHUNG,AL,PF,20,38,,cây,3,2,,Dọc Tựa | Đố trước | Đố sau
VT-AL-PF-TDB768,Profile nhôm TDB768,KHUNG,AL,PF,25,25,,cây,1,1,,Chân sau
VT-AL-PF-TDBD02,Profile nhôm TDBD02,KHUNG,AL,PF,,,,cây,5,2,,ẮC sao chân | Ắc sao tựa | Ắc sao tay vịn
